pid,task,Sex,n_correct,n,perc
082,face,Female,48,54,88.88888888888889
083,car,Female,38,54,70.37037037037037
083,face,Female,37,54,68.51851851851852
084,car,Male,38,54,70.37037037037037
084,face,Male,37,54,68.51851851851852
085,car,Female,23,54,42.592592592592595
085,face,Female,37,54,68.51851851851852
087,car,Female,43,54,79.62962962962963
087,face,Female,49,54,90.74074074074075
089,car,Female,35,54,64.81481481481481
089,face,Female,43,54,79.62962962962963
090,car,Male,35,54,64.81481481481481
090,face,Male,51,54,94.44444444444444
091,car,Female,22,54,40.74074074074074
091,face,Female,38,54,70.37037037037037
093,car,Female,42,54,77.77777777777779
093,face,Female,46,54,85.18518518518519
094,car,Male,26,54,48.148148148148145
094,face,Male,30,54,55.55555555555556
096,car,Male,45,54,83.33333333333334
096,face,Male,28,54,51.85185185185185
097,car,Male,18,54,33.33333333333333
097,face,Male,37,54,68.51851851851852
098,car,Male,23,54,42.592592592592595
098,face,Male,34,54,62.96296296296296
099,car,Male,24,54,44.44444444444444
099,face,Male,50,54,92.5925925925926
100,car,Male,31,54,57.407407407407405
100,face,Male,41,54,75.92592592592592
101,car,Female,29,54,53.70370370370371
101,face,Female,51,54,94.44444444444444
102,car,Male,20,54,37.03703703703704
102,face,Male,26,54,48.148148148148145
104,car,Female,27,54,50
104,face,Female,26,54,48.148148148148145
105,car,Female,28,54,51.85185185185185
105,face,Female,28,54,51.85185185185185
106,car,Female,33,54,61.111111111111114
106,face,Female,18,54,33.33333333333333
107,car,Female,32,54,59.25925925925925
107,face,Female,39,54,72.22222222222221
108,car,Male,30,54,55.55555555555556
108,face,Male,39,54,72.22222222222221
109,car,Female,25,54,46.2962962962963
109,face,Female,26,54,48.148148148148145
110,car,Male,38,54,70.37037037037037
110,face,Male,29,54,53.70370370370371
111,car,Male,25,54,46.2962962962963
111,face,Male,29,54,53.70370370370371
113,car,Male,27,54,50
113,face,Male,35,54,64.81481481481481
114,car,Male,31,54,57.407407407407405
114,face,Male,28,54,51.85185185185185
115,car,Female,36,54,66.66666666666666
115,face,Female,34,54,62.96296296296296
116,car,Male,33,54,61.111111111111114
116,face,Male,36,54,66.66666666666666
117,car,Female,27,54,50
117,face,Female,48,54,88.88888888888889
118,car,Female,23,54,42.592592592592595
118,face,Female,21,54,38.88888888888889
119,car,Female,41,54,75.92592592592592
119,face,Female,53,54,98.14814814814815
120,car,Female,35,54,64.81481481481481
120,face,Female,40,54,74.07407407407408
121,car,Female,28,54,51.85185185185185
121,face,Female,30,54,55.55555555555556
124,car,Female,30,54,55.55555555555556
124,face,Female,24,54,44.44444444444444
126,car,Male,40,54,74.07407407407408
126,face,Male,25,54,46.2962962962963
127,car,Male,38,54,70.37037037037037
127,face,Male,49,54,90.74074074074075
129,car,Female,40,54,74.07407407407408
129,face,Female,41,54,75.92592592592592
130,car,Male,31,54,57.407407407407405
130,face,Male,47,54,87.03703703703704
132,car,Male,32,54,59.25925925925925
132,face,Male,21,54,38.88888888888889
