.draw,param,value
32,B_lRnovel,2.311864867466667
32,B_lRlearned,1.9434101128333336
32,A,1.9056389256666664
32,t0,0.1707484075
33,v_Snovel_lMTRUE,3.5781943026333334
33,v_Snovel_lMFALSE,2.4096725693666667
33,v_Slearned_lMTRUE,3.1347203741
33,v_Slearned_lMFALSE,3.025701871133333
33,sv_lMTRUE,0.8893151251666667
33,B_lRnovel,2.3123700167333334
33,B_lRlearned,1.9309718145333337
33,A,1.9142030611333336
33,t0,0.173703043
34,v_Snovel_lMTRUE,3.549111889266667
34,v_Snovel_lMFALSE,2.3637962466
34,v_Slearned_lMTRUE,3.1078282325333335
34,v_Slearned_lMFALSE,2.999237868033333
34,sv_lMTRUE,0.885992711
34,B_lRnovel,2.3617283843666668
34,B_lRlearned,1.9672617966666663
34,A,1.8605270337666664
34,t0,0.16303709866666666
35,v_Snovel_lMTRUE,3.5413207278
35,v_Snovel_lMFALSE,2.4054329942666666
35,v_Slearned_lMTRUE,3.1474012525333332
35,v_Slearned_lMFALSE,3.0042074277666666
35,sv_lMTRUE,0.8862363695
35,B_lRnovel,2.3124372079333333
35,B_lRlearned,1.9472737032
35,A,1.9094908904333336
35,t0,0.17094720506666666
36,v_Snovel_lMTRUE,3.5356312203333333
36,v_Snovel_lMFALSE,2.3907848761333335
36,v_Slearned_lMTRUE,3.1376308908333335
36,v_Slearned_lMFALSE,2.9658212295
36,sv_lMTRUE,0.8892753511
36,B_lRnovel,2.2815370942666666
36,B_lRlearned,1.9449195229
36,A,1.8961807919
36,t0,0.17400581996666667
37,v_Snovel_lMTRUE,3.5011162568333334
37,v_Snovel_lMFALSE,2.3628623659666665
37,v_Slearned_lMTRUE,3.1001677620666666
37,v_Slearned_lMFALSE,2.9334623069666668
37,sv_lMTRUE,0.8766861415333334
37,B_lRnovel,2.2647918085666667
37,B_lRlearned,1.9319109688
37,A,1.8722977029
37,t0,0.17096648086666666
38,v_Snovel_lMTRUE,3.5359351960333334
38,v_Snovel_lMFALSE,2.381584521833333
38,v_Slearned_lMTRUE,3.116443810033333
38,v_Slearned_lMFALSE,2.964961586233333
38,sv_lMTRUE,0.8874952989
38,B_lRnovel,2.2883493056333335
38,B_lRlearned,1.9327343403
38,A,1.8796707343
38,t0,0.17373376363333334
39,v_Snovel_lMTRUE,3.5047452595666666
39,v_Snovel_lMFALSE,2.3505585518666665
39,v_Slearned_lMTRUE,3.082063076033333
39,v_Slearned_lMFALSE,2.9651317813
39,sv_lMTRUE,0.8711668187666667
39,B_lRnovel,2.2487874247333335
39,B_lRlearned,1.8861431556
39,A,1.9159253824666669
39,t0,0.17745245866666667
40,v_Snovel_lMTRUE,3.507355296566667
40,v_Snovel_lMFALSE,2.367524308866667
40,v_Slearned_lMTRUE,3.1019781580666668
40,v_Slearned_lMFALSE,2.9667710889666665
40,sv_lMTRUE,0.8703999488666667
40,B_lRnovel,2.2485653211333334
40,B_lRlearned,1.9080742081666664
40,A,1.9386197110666668
40,t0,0.17559712743333333
41,v_Snovel_lMTRUE,3.5614877662
41,v_Snovel_lMFALSE,2.412259757833333
41,v_Slearned_lMTRUE,3.148211507466667
41,v_Slearned_lMFALSE,3.0285651341
