pid,task,stim,keypress,acc,rt,Sex,Age
003,car,noise,2,0,3.0277,Female,44
003,car,noise,3,1,2.1947,Female,44
004,face,no_noise,1,1,2.3135,Female,45
004,face,no_noise,3,0,8.1652,Female,45
004,face,no_noise,3,0,7.2334,Female,45
004,face,no_noise,3,1,5.7756,Female,45
004,face,no_noise,3,1,3.2163,Female,45
004,face,no_noise,2,1,4.6781,Female,45
004,face,no_noise,1,1,3.5972,Female,45
004,face,no_noise,3,1,1.9779,Female,45
004,face,no_noise,2,1,3.1965,Female,45
004,face,no_noise,3,1,2.061,Female,45
004,face,no_noise,2,1,2.7836,Female,45
004,face,no_noise,3,1,4.8289,Female,45
004,face,no_noise,3,0,2.2424,Female,45
004,face,no_noise,2,0,7.568,Female,45
004,face,no_noise,2,1,2.0329,Female,45
004,face,no_noise,3,0,3.3328,Female,45
004,face,no_noise,2,1,2.1285,Female,45
004,face,no_noise,3,0,4.6786,Female,45
004,face,no_noise,3,0,5.7347,Female,45
004,face,no_noise,3,1,2.7116,Female,45
004,face,no_noise,2,0,10.747,Female,45
004,face,no_noise,2,1,2.4829,Female,45
004,face,no_noise,2,1,3.615,Female,45
004,face,no_noise,1,1,7.2133,Female,45
004,face,no_noise,3,1,2.2301,Female,45
004,face,no_noise,1,1,7.6999,Female,45
004,face,no_noise,2,1,3.7462,Female,45
004,face,no_noise,3,0,7.2038,Female,45
004,face,no_noise,1,1,4.1452,Female,45
004,face,no_noise,3,1,5.5854,Female,45
004,face,noise,2,1,2.4323,Female,45
004,face,noise,2,0,4.4841,Female,45
004,face,noise,1,1,5.2954,Female,45
004,face,noise,3,0,10.5951,Female,45
004,face,noise,3,1,2.9192,Female,45
004,face,noise,1,1,3.5541,Female,45
004,face,noise,2,1,4.5315,Female,45
004,face,noise,2,0,8.5281,Female,45
004,face,noise,2,1,7.8981,Female,45
004,face,noise,2,1,2.5458,Female,45
004,face,noise,3,0,6.9212,Female,45
004,face,noise,2,1,2.6296,Female,45
004,face,noise,1,1,2.2439,Female,45
004,face,noise,1,0,3.5301,Female,45
004,face,noise,1,1,4.4324,Female,45
004,face,noise,2,1,3.3454,Female,45
004,face,noise,3,1,2.4445,Female,45
004,face,noise,1,1,3.3353,Female,45
004,face,noise,3,1,2.9826,Female,45
004,face,noise,2,0,4.9346,Female,45
004,face,noise,1,1,3.1482,Female,45
004,face,noise,1,1,3.6974,Female,45
004,face,noise,1,1,1.7528,Female,45
004,face,noise,2,0,9.1174,Female,45
004,car,no_noise,2,1,4.8699,Female,45
004,car,no_noise,2,0,3.4167,Female,45
004,car,no_noise,1,1,6.8737,Female,45
004,car,no_noise,2,0,6.9741,Female,45
004,car,no_noise,1,0,2.8686,Female,45
004,car,no_noise,3,0,3.6998,Female,45
004,car,no_noise,2,0,2.781,Female,45
004,car,no_noise,1,1,1.8655,Female,45
004,car,no_noise,1,1,2.0354,Female,45
004,car,no_noise,3,1,4.0388,Female,45
004,car,no_noise,3,1,2.3875,Female,45
004,car,no_noise,3,1,4.5074,Female,45
004,car,no_noise,3,0,1.6678,Female,45
004,car,no_noise,3,0,7.6923,Female,45
004,car,no_noise,1,0,3.2266,Female,45
004,car,no_noise,3,0,4.8976,Female,45
004,car,no_noise,1,1,2.3525,Female,45
004,car,no_noise,2,0,3.6695,Female,45
004,car,no_noise,2,1,2.9924,Female,45
004,car,no_noise,3,0,2.0847,Female,45
004,car,no_noise,3,0,3.7302,Female,45
004,car,no_noise,1,1,2.2691,Female,45
004,car,no_noise,2,0,5.5108,Female,45
004,car,no_noise,3,0,4.7809,Female,45
004,car,no_noise,2,1,3.4504,Female,45
004,car,no_noise,2,0,1.7668,Female,45
004,car,no_noise,1,0,4.2926,Female,45
004,car,no_noise,2,1,1.9383,Female,45
004,car,no_noise,3,0,1.9276,Female,45
004,car,no_noise,2,0,4.2299,Female,45
004,car,noise,2,1,6.2509,Female,45
004,car,noise,3,1,2.9772,Female,45
004,car,noise,3,1,5.0883,Female,45
004,car,noise,2,0,2.2577,Female,45
004,car,noise,2,1,1.2805,Female,45
004,car,noise,2,1,1.3934,Female,45
004,car,noise,3,0,1.7644,Female,45
004,car,noise,1,1,1.9453,Female,45
004,car,noise,1,0,1.9895,Female,45
004,car,noise,1,1,2.5739,Female,45
004,car,noise,1,1,2.1249,Female,45
004,car,noise,3,1,2.2713,Female,45
004,car,noise,2,1,4.2663,Female,45
004,car,noise,3,1,3.7088,Female,45
