pid,param,value,.lower,.upper,.width,.point,.interval
014,v_Snovel_lMFALSE,1.4673377799999998,0.3959308932500002,2.7471027947499995,0.95,median,qi
014,v_Snovel_lMTRUE,3.02555353,2.2076033712500003,4.5187003595,0.95,median,qi
015,A,1.85508857,0.4782140652500001,3.2280108594999994,0.95,median,qi
015,B_lRlearned,1.7904606950000002,0.9961741970000001,2.61249492475,0.95,median,qi
015,B_lRnovel,1.528057545,0.7994941765,2.2745530269999996,0.95,median,qi
015,sv_lMTRUE,0.877342525,0.6982153680000001,1.10825327425,0.95,median,qi
015,t0,0.21141948500000002,0.08314147850000005,0.369995784,0.95,median,qi
015,v_Slearned_lMFALSE,3.0222108700000003,1.8974367227500002,4.1318707,0.95,median,qi
015,v_Slearned_lMTRUE,3.1319760800000003,2.0144358775,4.17333223375,0.95,median,qi
015,v_Snovel_lMFALSE,2.46466021,1.3022755149999998,3.5402695379999995,0.95,median,qi
015,v_Snovel_lMTRUE,3.40378225,2.26768007225,4.527967456,0.95,median,qi
016,A,0.880577605,0.34364408275,1.9779326474999996,0.95,median,qi
016,B_lRlearned,1.113620085,0.7430589190000001,1.4931630027499998,0.95,median,qi
016,B_lRnovel,1.578267205,1.07036919475,2.10275189325,0.95,median,qi
016,sv_lMTRUE,0.85492521,0.69709401075,1.049447654,0.95,median,qi
016,t0,0.10994272,0.057577785250000006,0.19503488849999998,0.95,median,qi
016,v_Slearned_lMFALSE,2.3660774399999998,1.5749249300000001,3.2846780184999997,0.95,median,qi
016,v_Slearned_lMTRUE,2.021300255,1.4015640175,2.805216863,0.95,median,qi
016,v_Snovel_lMFALSE,1.55381046,0.8446806207500003,2.331944943,0.95,median,qi
016,v_Snovel_lMTRUE,2.58641369,1.8871764010000003,3.4892181537499996,0.95,median,qi
018,A,3.9505700399999997,2.66490728975,5.231692810249999,0.95,median,qi
018,B_lRlearned,2.300467185,1.5044482647500006,2.9991200667499998,0.95,median,qi
018,B_lRnovel,3.2913943750000003,2.3012325755,4.1169990095,0.95,median,qi
018,sv_lMTRUE,0.8140941500000001,0.6340687755000001,1.03896577975,0.95,median,qi
018,t0,0.1241567,0.056174261,0.2742778334999999,0.95,median,qi
018,v_Slearned_lMFALSE,4.13742115,3.24510198575,5.02822839875,0.95,median,qi
018,v_Slearned_lMTRUE,3.67612636,2.823369142,4.51024219725,0.95,median,qi
018,v_Snovel_lMFALSE,3.1234753,2.2481475567499998,4.00113783875,0.95,median,qi
018,v_Snovel_lMTRUE,4.54168048,3.6600244105,5.397755239,0.95,median,qi
020,A,3.650672455,2.229246104000002,4.9483498975,0.95,median,qi
020,B_lRlearned,1.674894235,1.05062289275,2.3054761409999998,0.95,median,qi
020,B_lRnovel,2.58709376,1.7157862225,3.39019483,0.95,median,qi
020,sv_lMTRUE,0.821376645,0.6347785755,1.0528222512499998,0.95,median,qi
020,t0,0.15234441999999998,0.06426732624999999,0.29089592350000004,0.95,median,qi
020,v_Slearned_lMFALSE,3.773587095,2.8160165135,4.709941927749999,0.95,median,qi
020,v_Slearned_lMTRUE,3.5055927000000002,2.57038044675,4.35779210775,0.95,median,qi
020,v_Snovel_lMFALSE,2.5322784599999997,1.6406309377500008,3.3851884189999994,0.95,median,qi
020,v_Snovel_lMTRUE,4.30886405,3.3370020410000008,5.23761074675,0.95,median,qi
021,A,1.88829915,1.1101599432500004,2.92336286025,0.95,median,qi
021,B_lRlearned,0.832371615,0.58536505275,1.112000991,0.95,median,qi
021,B_lRnovel,1.800827565,1.37511797025,2.26766917,0.95,median,qi
021,sv_lMTRUE,0.90344593,0.7241479805000001,1.13290603225,0.95,median,qi
021,t0,0.074032215,0.051574841749999996,0.11841595575,0.95,median,qi
021,v_Slearned_lMFALSE,3.0855314050000002,2.27579140825,3.9922325349999994,0.95,median,qi
021,v_Slearned_lMTRUE,2.15498609,1.45586712025,2.9226111805,0.95,median,qi
021,v_Snovel_lMFALSE,1.7573586200000002,0.9826541992500001,2.55055178825,0.95,median,qi
021,v_Snovel_lMTRUE,3.324006695,2.5434450455000004,4.222316299,0.95,median,qi
022,A,0.98123917,0.34940277125,2.3475712205000003,0.95,median,qi
022,B_lRlearned,1.18581262,0.68445427325,1.72591105275,0.95,median,qi
022,B_lRnovel,2.57585386,1.7589238552500002,3.3958179767499996,0.95,median,qi
022,sv_lMTRUE,0.8454187049999999,0.6876289445,1.04172500975,0.95,median,qi
022,t0,0.17801547499999998,0.0817055315,0.30185940749999995,0.95,median,qi
022,v_Slearned_lMFALSE,2.98213124,2.10889603575,3.9988326209999996,0.95,median,qi
022,v_Slearned_lMTRUE,2.24865183,1.48500081,3.2199677107499998,0.95,median,qi
022,v_Snovel_lMFALSE,1.614570225,0.7642224135000002,2.591359614,0.95,median,qi
022,v_Snovel_lMTRUE,3.482826075,2.63286386975,4.51436406875,0.95,median,qi
024,A,1.200943585,0.36371875925000013,3.10468061775,0.95,median,qi
024,B_lRlearned,2.2064744750000003,1.47279758875,2.88943375125,0.95,median,qi
024,B_lRnovel,1.66442811,1.0262593230000001,2.2779459547500003,0.95,median,qi
024,sv_lMTRUE,0.835599165,0.6728912757500001,1.0323056322500002,0.95,median,qi
024,t0,0.14506033000000002,0.06484932100000003,0.271218643,0.95,median,qi
024,v_Slearned_lMFALSE,2.46719708,1.54619472425,3.69824247125,0.95,median,qi
024,v_Slearned_lMTRUE,3.0810484450000004,2.2253867612500002,4.278645824499999,0.95,median,qi
024,v_Snovel_lMFALSE,2.63592272,1.7086086175000004,3.8064253067499996,0.95,median,qi
024,v_Snovel_lMTRUE,2.73679237,1.86517387275,4.01159384225,0.95,median,qi
025,A,0.60875868,0.25238999525,1.47975922625,0.95,median,qi
025,B_lRlearned,1.5323777650000001,0.953276797,2.1233141865,0.95,median,qi
025,B_lRnovel,1.74421946,1.1275463350000001,2.36537439925,0.95,median,qi
025,sv_lMTRUE,0.79123146,0.6474479682500001,0.9663620045,0.95,median,qi
025,t0,0.154308605,0.06993894175000001,0.27460113075,0.95,median,qi
025,v_Slearned_lMFALSE,1.88905405,1.1354392317500002,2.7016343319999994,0.95,median,qi
